,Date,Close,High,Low,Open,Volume
0,2025-03-21,4.179999828338623,4.25,3.75,3.799999952316284,1929100
1,2025-03-24,4.150000095367432,4.460000038146973,3.8610000610351562,4.349999904632568,650600
2,2025-03-25,4.349999904632568,4.380000114440918,4.010000228881836,4.019999980926514,473600
3,2025-03-26,4.889999866485596,4.929999828338623,4.179999828338623,4.340000152587891,755900
4,2025-03-27,6.389999866485596,6.949999809265137,4.78000020980835,4.989999771118164,1181300
5,2025-03-28,7.179999828338623,7.800000190734863,6.539999961853027,6.730000019073486,1465700
6,2025-03-31,6.630000114440918,8.0,5.760000228881836,7.050000190734863,1091200
7,2025-04-01,6.119999885559082,7.369999885559082,5.300000190734863,6.730000019073486,1181100
8,2025-04-02,5.190000057220459,6.170000076293945,5.010000228881836,5.849999904632568,676100
9,2025-04-03,3.690000057220459,4.25,3.0999999046325684,4.110000133514404,918300
10,2025-04-04,3.759999990463257,3.9800000190734863,3.299999952316284,3.5799999237060547,279000
11,2025-04-07,3.609999895095825,4.320000171661377,3.5999999046325684,3.799999952316284,232600
12,2025-04-08,3.430000066757202,4.188000202178955,3.2799999713897705,3.7899999618530273,197200
13,2025-04-09,3.190000057220459,3.990000009536743,3.059999942779541,3.5280001163482666,751300
14,2025-04-10,1.4600000381469727,3.200000047683716,1.2599999904632568,3.0399999618530273,941600
15,2025-04-11,1.649999976158142,1.850000023841858,1.2100000381469727,1.3799999952316284,477100
16,2025-04-14,2.2799999713897705,2.5199999809265137,1.6200000047683716,1.7599999904632568,342900
17,2025-04-15,2.4200000762939453,2.5,2.0,2.0,116100
18,2025-04-16,2.369999885559082,2.549999952316284,2.1500000953674316,2.3949999809265137,62900
19,2025-04-17,3.190000057220459,3.200000047683716,2.2690000534057617,2.2690000534057617,95300
20,2025-04-21,3.7100000381469727,4.460000038146973,3.0999999046325684,3.25,406600
21,2025-04-22,3.890000104904175,4.159999847412109,3.680000066757202,4.099999904632568,137600
